gcode,gname,week_end_date,week_end_year,total_weekly_sales,weekly_purchase_tax_rate_mean,weekly_invoice_tax_rate_mean,year,month,quarter,weekofyear,weekofmonth,is_month_start,is_month_end,days_in_month,elapsed_weeks,total_weekly_sales_lag_1,lag_1_diff,total_weekly_sales_lag_2,lag_2_diff,total_weekly_sales_lag_4,lag_4_diff,total_weekly_sales_lag_8,lag_8_diff,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,rolling_mean_26,rolling_std_26,pct_change_1w,pct_change_4w,rolling_mean_ratio_4_12,target_zscore,num_holidays_in_week,min_days_to_next_holiday_in_week,num_days_before_holiday_period_in_week,num_workday_holidays_in_week,data_split,is_train
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-01-06,2019,17619.0,0.16,0.16,2019,1,1,1,1,0,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17619.0,0.0,17619.0,0.0,17619.0,0.0,17619.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-01-13,2019,31675.0,0.16,0.16,2019,1,1,2,2,0,0,31,1,17619.0,14056.0,0.0,0.0,0.0,0.0,0.0,0.0,24647.0,9939.092916358111,24647.0,9939.092916358111,24647.0,9939.092916358111,24647.0,9939.092916358111,0.7977751291219706,0.0,1.0,0.7071067811865476,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-01-20,2019,36689.0,0.16,0.16,2019,1,1,3,3,0,0,31,2,31675.0,5014.0,17619.0,19070.0,0.0,0.0,0.0,0.0,28661.0,9885.816708800543,28661.0,9885.816708800543,28661.0,9885.816708800543,28661.0,9885.816708800543,0.15829518547750587,0.0,1.0,0.8120725112021672,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-01-27,2019,33064.0,0.16,0.16,2019,1,1,4,4,0,0,31,3,36689.0,-3625.0,31675.0,1389.0,0.0,0.0,0.0,0.0,29761.75,8366.571395539911,29761.75,8366.571395539911,29761.75,8366.571395539911,29761.75,8366.571395539911,-0.09880345607675323,0.0,1.0,0.3946957294550045,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-02-03,2019,21819.0,0.16,0.16,2019,2,1,5,1,0,0,28,4,33064.0,-11245.0,36689.0,-14870.0,17619.0,4200.0,0.0,0.0,30811.75,6356.87162971431,28173.2,8069.516292814583,28173.2,8069.516292814583,28173.2,8069.516292814583,-0.3400979917735302,0.2383790226460072,1.0936546079252623,-0.7874325758110226,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-02-10,2019,640.0,0.16,0.16,2019,2,1,6,2,0,0,28,5,21819.0,-21179.0,33064.0,-32424.0,31675.0,-31035.0,0.0,0.0,23053.0,16227.815030578413,23584.333333333332,13358.1382784678,23584.333333333332,13358.1382784678,23584.333333333332,13358.1382784678,-0.9706677666254182,-0.9797947908445146,0.9774709199609911,-1.7176295719529775,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-02-17,2019,20790.0,0.16,0.16,2019,2,1,7,3,0,0,28,6,640.0,20150.0,21819.0,-1029.0,36689.0,-15899.0,0.0,0.0,19078.25,13490.886612203565,23185.14285714286,12239.908216275855,23185.14285714286,12239.908216275855,23185.14285714286,12239.908216275855,31.484375,-0.4333451443211862,0.8228653201557647,-0.19568307333856877,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-02-24,2019,23117.0,0.16,0.16,2019,2,1,8,4,0,0,28,7,20790.0,2327.0,640.0,22477.0,33064.0,-9947.0,0.0,0.0,16591.5,10676.870031365312,23176.625,11331.978656344936,23176.625,11331.978656344936,23176.625,11331.978656344936,0.11192881192881199,-0.30084079361238814,0.7158721341006294,-0.005261658339482939,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-03-03,2019,22300.0,0.16,0.16,2019,3,1,9,1,0,0,31,8,23117.0,-817.0,20790.0,1510.0,21819.0,481.0,17619.0,4681.0,16711.75,10757.772953388945,23761.75,11122.939536317343,23079.222222222223,10604.122238282831,23079.222222222223,10604.122238282831,-0.035341956136176855,0.022045006645584175,0.7241036911507706,-0.07348295358281397,0,0.0,0,0,discard_pre_6y,False
26436,低钙腹膜透析液(乳酸盐-G1.5%),2019-03-10,2019,27074.0,0.16,0.16,2019,3,1,10,2,0,0,31,9,22300.0,4774.0,23117.0,3957.0,640.0,26434.0,31675.0,-4601.0,23320.25,2681.729836629094,23186.625,10768.630446645879,23478.7,10077.156191108681,23478.7,10077.156191108681,0.21408071748878932,41.303125,0.993251329928829,0.3567772426879936,0,0.0,0,0,discard_pre_6y,False
